ss	mean.4	dev.4	err.4	mean.6	dev.6	err.6	mean.8	dev.8	err.8	mean.10	dev.10	err.10	mean.12	dev.12	err.12	mean.14	dev.14	err.14	mean.16	dev.16	err.16	mean.18	dev.18	err.18	mean.20	dev.20	err.20	mean.22	dev.22	err.22	mean.24	dev.24	err.24	mean.26	dev.26	err.26	mean.28	dev.28	err.28	mean.30	dev.30	err.30	mean.32	dev.32	err.32	mean.34	dev.34	err.34	mean.36	dev.36	err.36	mean.38	dev.38	err.38	mean.40	dev.40	err.40	mean.42	dev.42	err.42	mean.44	dev.44	err.44	mean.46	dev.46	err.46	mean.48	dev.48	err.48	mean.50	dev.50	err.50	mean.52	dev.52	err.52	mean.54	dev.54	err.54	mean.56	dev.56	err.56	mean.58	dev.58	err.58	mean.60	dev.60	err.60	mean.62	dev.62	err.62	mean.64	dev.64	err.64	mean.66	dev.66	err.66	mean.68	dev.68	err.68	mean.70	dev.70	err.70	mean.72	dev.72	err.72	mean.74	dev.74	err.74	mean.76	dev.76	err.76	mean.78	dev.78	err.78	mean.80	dev.80	err.80	mean.82	dev.82	err.82	mean.84	dev.84	err.84	mean.86	dev.86	err.86	mean.88	dev.88	err.88	mean.90	dev.90	err.90	mean.92	dev.92	err.92	mean.94	dev.94	err.94	mean.96	dev.96	err.96	mean.98	dev.98	err.98	mean.100	dev.100	err.100	mean.102	dev.102	err.102	mean.104	dev.104	err.104	mean.106	dev.106	err.106	mean.108	dev.108	err.108	mean.110	dev.110	err.110	mean.112	dev.112	err.112	mean.114	dev.114	err.114	mean.116	dev.116	err.116	mean.118	dev.118	err.118	mean.120	dev.120	err.120	mean.122	dev.122	err.122	mean.124	dev.124	err.124	mean.126	dev.126	err.126	mean.128	dev.128	err.128	mean.130	dev.130	err.130	mean.132	dev.132	err.132	mean.134	dev.134	err.134	mean.136	dev.136	err.136	mean.138	dev.138	err.138	mean.140	dev.140	err.140	mean.142	dev.142	err.142	mean.144	dev.144	err.144	mean.146	dev.146	err.146	mean.148	dev.148	err.148	mean.150	dev.150	err.150	mean.152	dev.152	err.152	mean.154	dev.154	err.154	mean.156	dev.156	err.156	mean.158	dev.158	err.158	mean.160	dev.160	err.160	mean.162	dev.162	err.162	mean.164	dev.164	err.164	mean.166	dev.166	err.166	mean.168	dev.168	err.168	mean.170	dev.170	err.170	mean.172	dev.172	err.172	mean.174	dev.174	err.174	mean.176	dev.176	err.176	mean.178	dev.178	err.178	mean.180	dev.180	err.180	mean.182	dev.182	err.182	mean.184	dev.184	err.184	mean.186	dev.186	err.186	mean.188	dev.188	err.188	mean.190	dev.190	err.190	mean.192	dev.192	err.192	mean.194	dev.194	err.194	mean.196	dev.196	err.196	mean.198	dev.198	err.198	mean.200	dev.200	err.200	mean.202	dev.202	err.202	mean.204	dev.204	err.204	mean.206	dev.206	err.206	mean.208	dev.208	err.208	mean.210	dev.210	err.210	mean.212	dev.212	err.212	mean.214	dev.214	err.214	mean.216	dev.216	err.216	mean.218	dev.218	err.218	mean.220	dev.220	err.220	mean.222	dev.222	err.222	mean.224	dev.224	err.224	mean.226	dev.226	err.226	mean.228	dev.228	err.228	mean.230	dev.230	err.230	mean.232	dev.232	err.232	mean.234	dev.234	err.234	mean.236	dev.236	err.236	mean.238	dev.238	err.238	mean.240	dev.240	err.240	mean.242	dev.242	err.242	mean.244	dev.244	err.244	mean.246	dev.246	err.246	mean.248	dev.248	err.248	mean.250	dev.250	err.250	mean.252	dev.252	err.252	mean.254	dev.254	err.254	mean.256	dev.256	err.256	mean.258	dev.258	err.258	mean.260	dev.260	err.260	mean.262	dev.262	err.262	mean.264	dev.264	err.264	mean.266	dev.266	err.266	mean.268	dev.268	err.268	mean.270	dev.270	err.270	mean.272	dev.272	err.272	mean.274	dev.274	err.274	mean.276	dev.276	err.276	mean.278	dev.278	err.278	mean.280	dev.280	err.280	mean.282	dev.282	err.282	mean.284	dev.284	err.284	mean.286	dev.286	err.286	mean.288	dev.288	err.288	mean.290	dev.290	err.290	mean.292	dev.292	err.292	mean.294	dev.294	err.294	mean.296	dev.296	err.296	mean.298	dev.298	err.298	mean.300	dev.300	err.300
1	2.0168	1.42727764367947	0.0142727764367947	10.3581	13.5916201243178	0.135916201243178	32.9207	52.0639133817048	0.520639133817048	81.6101	141.027379434509	1.41027379434509	163.7736	298.815663617425	2.98815663617425	308.8841	616.637670329049	6.16637670329049	557.0006	1142.23866057642	11.4223866057642	919.4268	1961.59848580277	19.6159848580277	1461.0985	3108.9115242934	31.089115242934	2170.1218	4610.00513588652	46.1000513588652	3073.7947	6682.2091553521	66.822091553521	4277.2574	9591.26605122555	95.9126605122555	5739.1872	12826.6146259889	128.266146259889	7851.3882	17954.8325815142	179.548325815142	10172.9198	22902.7411630671	229.027411630671	13374.195	31146.2437758152	311.462437758152	17528.2723	40348.2108276123	403.482108276123	20895.9446	48906.104695469	489.06104695469	26556.0931	61520.0705029594	615.200705029594	34076.8937	80861.9653298342	808.619653298342	38078.4731	92750.9908495679	927.509908495679	47217.6617	112012.236683165	1120.12236683165	57078.3792	137134.610876194	1371.34610876194	68032.9484	164948.623492213	1649.48623492213	76258.4142	186619.592476325	1866.19592476325	95458.6594	234216.194715834	2342.16194715834	110322.4316	270209.291240493	2702.09291240493	131635.9234	317707.596610729	3177.07596610729	145566.7377	351266.296306634	3512.66296306634	166783.8605	399458.126791729	3994.58126791729	198825.2219	480562.710749049	4805.62710749049	212963.0185	539391.050859161	5393.91050859161	236194.5531	569131.028495436	5691.31028495436	273782.2256	677570.853193464	6775.70853193464	315062.379	774798.508695445	7747.98508695445	349113.8227	857989.388160658	8579.89388160658	382890.2812	965473.02416501	9654.7302416501	444044.4678	1107494.25364491	11074.9425364491	495789.1409	1188319.34879748	11883.1934879748	542916.3675	1361717.3833123	13617.173833123	609178.3721	1522567.1876056	15225.671876056	657635.4058	1672078.02155221	16720.7802155221	711242.6028	1838751.4871215	18387.514871215	769808.9924	1951505.04070779	19515.0504070779	858534.9455	2123674.40470074	21236.7440470074	1008782.9224	2531995.81826244	25319.9581826244	1033930.9653	2621549.18953901	26215.4918953901	1176337.717	2980736.12140108	29807.3612140108	1225040.5493	3083709.54670319	30837.0954670319	1376597.3474	3435604.82603252	34356.0482603252	1429004.3997	3634533.32160351	36345.3332160351	1490885.4266	3872054.89696966	38720.5489696966	1688162.3356	4244750.89139503	42447.5089139503	1874183.3489	4761733.08416146	47617.3308416146	1990970.9583	5085096.40312844	50850.9640312844	2149245.4765	5505914.46357203	55059.1446357203	2242910.5072	5791519.32995818	57915.1932995818	2432184.1557	6146772.00359176	61467.7200359176	2744164.6822	7013056.09581112	70130.5609581112	2915935.4809	7287556.59111849	72875.5659111849	3075276.7336	7824187.52391743	78241.8752391743	3258083.6614	8352014.37761401	83520.1437761401	3394556.425	8785927.6731477	87859.276731477	3751124.0508	9745677.43953018	97456.7743953018	3879488.0524	9672405.22521524	96724.0522521524	4263585.5142	11099664.6726212	110996.646726212	4392916.9924	11336890.8323085	113368.908323085	5032663.7064	13054555.5421682	130545.555421682	5072285.2444	12845468.1975557	128454.681975557	5316738.5507	14038105.2140373	140381.052140373	5831110.3208	15101126.2853832	151011.262853832	6194216.1368	16107870.3144719	161078.703144719	6249045.7081	16178124.0675173	161781.240675173	6843783.6846	17989040.2220689	179890.402220689	7159737.2652	18714558.3072196	187145.583072196	7638385.9402	19186581.7997261	191865.817997261	8048275.6415	20625855.611525	206258.55611525	8838806.989	22092879.4560306	220928.794560306	9010299.7927	23281312.8722719	232813.128722719	8717475.8431	22818071.3347233	228180.713347233	10551979.5325	26676094.2903798	266760.942903798	10117466.5497	26930920.6181135	269309.206181135	11166942.2172	28609318.6616026	286093.186616026	10888220.1503	27821492.1595824	278214.921595824	12472788.5198	32953906.1093079	329539.061093079	13235313.4417	33389941.0079303	333899.410079303	13077943.0988	33850298.917433	338502.98917433	14109255.1619	37119765.033921	371197.65033921	15236547.3647	39956422.6505813	399564.226505813	14945977.0242	39495210.8448847	394952.108448847	15886241.1901	41103120.4694595	411031.204694595	16854800.198	44267107.3212295	442671.073212295	17852944.5449	46678097.1225355	466780.971225355	18082989.2646	46402321.5110373	464023.215110373	19584339.5563	50027891.353502	500278.91353502	19270028.2097	51550504.7168189	515505.047168189	20402214.5478	52107388.2809625	521073.882809625	22832555.1576	58519807.881406	585198.07881406	21755198.2713	57814626.3160607	578146.263160607	23485355.2264	60311890.8501168	426469.470063005	24198186.6199	63866982.70061	451607.765615252	25706051.4465	67279363.7458985	475736.943386412	27739491.9795	70914092.980138	501438.360279489	27457034.8042	71889518.5106277	508335.660351007	29129879.53955	76045767.0229609	537724.77542468	29719580.04455	76368169.4228505	540004.504657007	30649320.02525	80024920.3553181	565861.638471588	32666437.3853	85329268.6954304	603369.045282279	33839167.8898	88967764.8500144	629097.098324554	34514162.4825	88754710.0024198	627590.573049565	36388915.1451	94494119.3851247	668174.325994729	37771384.47195	99418001.5295023	702991.430535257	39642203.91045	104970236.715478	742251.662042714	40450195.024	107230790.270157	758236.189520202	42740963.11955	110796646.65237	783450.601806204	45313167.5796	118985593.279732	841355.198716033	45110082.24705	118933361.471896	840985.864060883	46653024.50735	122501521.654356	866216.566674659	49259825.01095	128896415.876889	911435.297371893	49814418.60785	130112887.488174	920037.050626504	52017343.0102	135045348.101727	954914.814104289	53999308.5623	139747958.42494	988167.290592507	57527566.73685	148348665.313157	1048983.47222907	57489338.08145	147621400.949322	1043840.93659524	58352131.76105	154642530.882664	1093487.82246982	62969886.04765	166769913.116561	1179241.36462612	64782734.9133	167543627.113659	1184712.34876658	65243169.72315	171958969.612559	1215933.53498892	69601422.77345	181632523.283014	1284335.88897442	69090733.56345	181559817.92601	1283821.78446477	73232634.34895	190674114.961801	1348269.59686233	72917489.5056	191469138.936482	1353891.26529936	77627173.4373	202720811.054595	1433452.60184341	77703055.5701	206024906.809573	1456816.08698376	82738756.14385	215221662.706882	1521846.9715828	86232229.26565	225356790.518557	1593513.14762108	88125824.00865	233323070.600082	1649843.25428586	91163775.8993	238694065.369434	1687821.92251712	92692486.51085	247903245.519001	1752940.65984639	94455061.98685	248622024.268457	1758023.19312552	100590878.6651	262594470.761672	1856823.3097767	99573665.5347	258883840.702459	1830585.19300327	107010681.28695	282227807.243334	1995651.96341171	102316913.77555	272610904.067812	1927650.18891745	112200257.5026	294247363.113528	2080643.05803836	113186855.125	294145993.376024	2079926.2657504	118717725.4656	315143400.369338	2228400.35447346	123077110.4036	318468133.232343	2251909.76600411	127631476.9137	334227217.593593	2363343.32017541
2	NA	NA	NA	3.9964	3.50091597746477	0.0350091597746477	10.0829	14.4382226682297	0.144382226682297	22.1812	40.8893575458951	0.408893575458951	40.8321	87.2426251161307	0.872426251161307	73.5736	181.898888681625	1.81898888681625	119.9638	321.032668255068	3.21032668255068	202.0508	567.505675115667	5.67505675115667	273.7411	772.848606757939	7.72848606757939	434.288	1310.63691691055	13.1063691691055	570.929	1802.40173811544	18.0240173811544	835.8606	2792.41903370064	27.9241903370064	1123.9355	3691.75838916094	36.9175838916094	1500.7594	4921.24973038379	49.2124973038379	1879.599	6454.58183065796	64.5458183065796	2390.4809	8401.70373583844	84.0170373583844	3105.7716	10765.7144373872	107.657144373872	3799.804	13493.15850345	134.9315850345	4392.2219	15843.0311497914	158.430311497914	5652.3605	19808.5454108087	198.085454108087	7062.1636	26866.7401440002	268.667401440002	8337.9747	29761.8211699687	297.618211699687	9602.3199	36758.4629231802	367.584629231802	11715.8821	45921.4222512539	459.214222512539	13922.7259	50911.9344243278	509.119344243278	15873.2762	59402.4871876601	594.024871876601	18952.3802	73333.7624674516	733.337624674516	21557.2454	84311.0214065008	843.110214065008	23316.7578	93417.491376197	934.17491376197	28543.9549	114734.032055388	1147.34032055388	30338.0161	118296.344096796	1182.96344096796	38626.0384	156128.792157405	1561.28792157405	44783.9611	175023.885358595	1750.23885358595	42686.434	162227.542956091	1622.27542956091	52364.2963	206929.990781132	2069.29990781132	59819.9856	232050.022504851	2320.50022504851	68953.2808	279213.860852004	2792.13860852004	76243.4791	307999.65473223	3079.9965473223	79157.3584	326347.055524928	3263.47055524928	91184.0465	377061.814077034	3770.61814077034	105696.3604	432283.72113572	4322.8372113572	118295.836	488779.627537995	4887.79627537995	126483.8178	519207.673192061	5192.07673192061	125878.6897	540922.515519725	5409.22515519725	147294.687	619395.964618932	6193.95964618932	168438.2815	706664.91571922	7066.6491571922	175112.0557	705158.493000536	7051.58493000536	182239.715	769617.811935475	7696.17811935474	199795.9734	846369.433980632	8463.69433980632	229144.1585	992750.261402746	9927.50261402746	254275.9513	1053134.22532158	10531.3422532158	280797.4014	1196361.6429424	11963.616429424	279659.7868	1156642.10766815	11566.4210766815	327614.0877	1367015.9702149	13670.159702149	335201.52	1428841.56266838	14288.4156266838	351277.7111	1507046.27006996	15070.4627006996	377834.6793	1614728.66302193	16147.2866302193	431117.2913	1774572.52284214	17745.7252284214	442159.9675	1823057.38612345	18230.5738612345	498867.3211	2146875.92378931	21468.7592378931	486442.4688	1972514.11520957	19725.1411520957	530291.4537	2269598.26306172	22695.9826306172	609062.3914	2565248.4676002	25652.484676002	610752.2515	2589913.06613886	25899.1306613886	640757.0205	2784009.05532226	27840.0905532226	737103.0968	3145167.47255165	31451.6747255165	760487.498	3500166.55328701	35001.6655328701	793781.4668	3555754.63880612	35557.5463880612	879874.4626	3763293.2943613	37632.932943613	942300.7017	4021883.57169898	40218.8357169898	985505.3109	4034234.88554899	40342.3488554899	994268.2856	4435384.68817442	44353.8468817442	979422.3766	4264893.24980075	42648.9324980075	1168713.4062	4923283.93055944	49232.8393055944	1168190.1077	5160705.41460353	51607.0541460353	1361013.5548	5987339.89352059	59873.3989352059	1257687.7794	5463810.51977468	54638.1051977468	1463463.4159	6225514.1796601	62255.141796601	1457571.4013	6507993.04743509	65079.9304743509	1838660.4705	7686395.51622182	76863.9551622182	1616500.3552	7176489.66719955	71764.8966719955	1760423.4137	7848115.45347517	78481.1545347517	1801996.6279	7874989.78317356	78749.8978317356	1818503.9623	7949881.39331754	79498.8139331754	1959824.6946	8766155.35773203	87661.5535773203	2205745.3236	9996956.87921211	99969.5687921211	2320336.3621	9876410.70413143	98764.1070413143	2409771.6239	10946792.7164185	109467.927164185	2257243.7731	10235144.7471682	102351.447471682	2408177.1839	10703976.359509	107039.76359509	2837200.7095	12359886.626422	123598.86626422	2740680.4825	12341722.4662488	123417.224662488	2964665.2332	12766295.6111307	127662.956111307	3050475.335	13758251.8527947	137582.518527947	3017469.6602	13700364.5012999	137003.645012999	3066250.3148	13295168.2542927	132951.682542927	3565928.0938	15397527.2119497	153975.272119497	3525006.2418	15708254.1559054	157082.541559054	3781829.1115	15970270.7083611	159702.707083611	4039097.107	17898933.9841695	126564.575962166	4164735.5525	18232715.537648	128924.767961162	4406596.41115	19205523.4845276	135803.55892147	4306637.3662	19207206.0188775	135815.456235953	4660953.8723	20481234.9529217	144824.201222859	4882480.97495	22299495.7068945	157681.246313854	5079093.63285	22724970.3399862	160689.806296674	5452210.4994	23987490.953011	169617.175165251	5477019.63775	24064082.9816236	170158.762593418	5531614.23015	24949258.3122008	176417.89738132	5851147.57835	26190131.5854498	185192.196442395	6096530.56885	27337583.0915569	193305.903852906	6331129.75055	28762770.6708504	203383.501870718	6364873.10725	28686119.4370084	202841.495798358	6873734.39305	30018488.9837404	212262.771213765	7690037.8344	33010607.4487063	233420.243780674	7729452.9964	33974774.2457585	240237.932584579	7483214.45385	33943538.0432725	240017.059278615	8190601.7928	35714087.1261282	252536.731907724	8306959.14285	37682151.4713164	266453.048350665	8820080.6241	39126675.634851	276667.376666896	8729111.75155	38697578.5256996	273633.201910211	9231220.222	39927882.5231706	282332.764905538	9427363.65235	42591489.3083684	301167.309107816	9712667.9068	44409217.6307179	314020.589338698	9880443.1106	45172220.9546627	319415.83758299	10453061.66475	46749920.5309567	330571.858273717	10767347.6917	48660187.5610937	344079.485982586	11017899.5283	50339653.4573495	355955.103222727	11654217.74585	50403955.5254966	356409.787507038	10774955.5253	49152360.5552232	347559.674599245	12043035.2605	53773050.1659268	380232.884174112	12467755.64255	56821153.8174222	401786.231791431	13422474.74015	59531053.8743201	420948.118857134	13430618.79235	59750764.9284433	422501.710619856	14229790.724	63431855.6123108	448530.95246711	15008227.37545	68805686.8327678	486529.67743648	14563078.3561	65316352.2705926	461856.356129054	14704165.5254	66239327.8525245	468382.77905759	15262000.5956	72016524.8987195	509233.731133744	15449273.16265	70726671.6452955	500113.091311428	16060093.2054	72079110.9833099	509676.281581962	17690719.7728	81083950.4598869	573350.112155801	17798579.0713	81424706.3395537	575759.620088217	17786492.85025	80982681.8672655	572634.035070163	19334460.127	86340497.6565081	610519.513839381	19087412.7313	85684788.8272096	605882.952242572	19496865.85005	86898643.9283478	614466.2039765	20191196.20085	92255841.1976821	652347.309149503	21689585.059	95316537.1855199	673989.698031009
3	NA	NA	NA	NA	NA	NA	6.0049	5.52031913772548	0.0552031913772548	11.2391	16.5284194663315	0.165284194663315	20.0589	40.0023830522006	0.400023830522006	30.3707	70.1549545882208	0.701549545882208	48.6365	128.745221662631	1.28745221662631	72.3255	209.399721523424	2.09399721523424	102.0362	327.621781163447	3.27621781163447	150.4562	506.929825583745	5.06929825583746	192.9134	694.637456534012	6.94637456534012	266.7141	983.174047909137	9.83174047909137	353.762	1425.72984829386	14.2572984829386	465.9981	1844.80032743959	18.4480032743959	551.5888	2256.74170082112	22.5674170082112	766.2979	3347.91482417378	33.4791482417378	865.2075	3960.68022647997	39.6068022647997	1240.9441	5779.07868543252	57.7907868543252	1351.8533	6419.32960702591	64.1932960702591	1610.8762	7227.82715583411	72.2782715583411	1969.6703	9900.584045037	99.00584045037	2428.7873	11187.8190679063	111.878190679063	2922.5812	14038.6796098752	140.386796098752	3516.1801	17731.305012046	177.31305012046	3639.8738	18282.2613570178	182.822613570178	4452.5216	21694.8290826691	216.948290826691	5046.4578	25201.9288472724	252.019288472724	5587.2469	28086.8182985783	280.868182985783	6885.8079	38478.5520641005	384.785520641005	8577.5773	45982.0375823717	459.820375823717	8859.9979	48175.9998342795	481.759998342795	10365.5577	56114.733748819	561.147337488189	11930.2256	60199.1405683156	601.991405683156	13457.2947	69988.4967554245	699.884967554245	15449.1227	84961.4973177738	849.614973177738	15845.3217	92027.3206384539	920.273206384539	16819.1306	92101.0712611851	921.010712611851	20648.9903	114364.915720813	1143.64915720813	23432.6395	131092.894070681	1310.92894070681	25394.1896	148734.200949362	1487.34200949362	29979.9889	162178.174105761	1621.78174105761	32272.4522	180003.320410502	1800.03320410502	32069.6498	177169.642129699	1771.69642129699	37822.2546	226948.816411172	2269.48816411172	39563.0674	225522.956137624	2255.22956137624	41413.9079	227685.66501692	2276.8566501692	49862.7363	278489.174125821	2784.89174125821	52739.0287	311370.339786388	3113.70339786388	55668.5458	306790.176398598	3067.90176398598	61469.1183	345778.797665448	3457.78797665448	64799.5225	365674.12177107	3656.7412177107	69712.728	402294.928964456	4022.94928964456	81085.1842	492464.935864203	4924.64935864203	73415.8492	421967.879994263	4219.67879994263	92961.5412	586844.095416147	5868.44095416147	100973.5721	638174.465856913	6381.74465856913	109792.3161	686971.511878771	6869.71511878771	116160.1993	693698.581775151	6936.98581775151	124626.9149	781837.240602454	7818.37240602454	114580.8992	637281.150839809	6372.81150839809	144940.4465	896422.329971754	8964.22329971754	160206.1213	945852.922332273	9458.52922332272	152193.9107	911363.765923402	9113.63765923402	165851.8929	1076048.71730348	10760.4871730348	175864.0409	1076248.17156025	10762.4817156025	218341.7245	1337838.30466943	13378.3830466943	198174.3708	1177238.31447868	11772.3831447868	197874.9669	1240809.36483282	12408.0936483282	238671.8263	1553645.50791901	15536.4550791901	240157.955	1458352.61405125	14583.5261405125	269098.5055	1633809.63198238	16338.0963198238	282254.6183	1804427.35343402	18044.2735343402	279514.9617	1692396.89884778	16923.9689884778	303067.144	1866156.848086	18661.56848086	323151.6645	2029645.90348815	20296.4590348815	314184.5449	1925783.10873439	19257.8310873439	340894.738	2089453.73159312	20894.5373159312	397953.9448	2393553.55903929	23935.5355903929	379568.4493	2310329.19368518	23103.2919368518	396601.4429	2538024.71276832	25380.2471276832	496492.7385	3076437.74094297	30764.3774094297	449714.4142	2801738.00134918	28017.3800134918	481909.1908	2963216.16752508	29632.1616752508	514128.9917	3300666.98437755	33006.6698437755	636804.7685	3769274.62558739	37692.7462558739	522268.0276	3214636.11729125	32146.3611729125	606330.1181	4066319.42549139	40663.1942549139	617397.7762	3897627.33985286	38976.2733985286	622412.8385	4040294.23652598	40402.9423652598	697143.1212	4635426.06318915	46354.2606318915	721285.9974	4806016.8170562	48060.168170562	803260.4921	5403861.13738802	54038.6113738802	761702.5688	4907831.32958409	49078.3132958409	791160.6975	4881733.39559181	48817.3339559181	971841.4367	6056240.97017232	60562.4097017232	865178.963	5420607.61389997	54206.0761389997	997716.9986	6849857.18245809	68498.5718245809	1005776.5249	6921258.16113675	69212.5816113675	1166153.9182	7810746.45537753	78107.4645537753	1034038.52505	6806856.92082787	48131.7468728397	1113393.83685	7323133.15143708	51782.3711091317	1192657.1587	7719119.14498211	54582.4149220375	1249256.38715	8267441.36678281	58459.638535143	1284965.40245	8083727.80285431	57160.5874666451	1302568.5503	8463849.89386391	59848.4565489621	1315977.62375	8132462.43958477	57505.1933877528	1429951.87425	9583469.7134716	67765.3642169167	1510864.11865	9933676.07600315	70241.697154524	1554611.1967	10206860.8527942	72173.4052363829	1631361.7223	10872619.3096082	76881.0284308376	1713841.09545	11183727.2039299	79080.8934483931	1713299.78845	11578927.8254184	81875.3838422294	1874336.35135	11907283.7939985	84197.2111624899	1910927.13715	11659237.1551568	82443.2565587352	2089549.9546	13473854.3929162	95274.5380995122	1835654.07315	12153227.8107664	85936.2979829789	2014570.62285	13377353.1320376	94592.1711399088	2142477.0969	13579036.0945055	96018.2850440174	2358076.87855	15388798.5173747	108815.237859491	2211055.0799	14515280.1056443	102638.529935233	2169603.6222	14207572.5050286	100462.708625053	2484956.42805	16089520.6404003	113770.09150868	2546722.62835	17243301.1406093	121928.551665666	2508753.3316	15930785.6772566	112647.665820177	2901129.0499	19224994.239466	135941.237949987	2673641.0041	17562730.0554454	124187.255183543	3161080.6415	20069462.0865907	141912.527361946	2906546.60185	18909769.9281989	133712.265469069	2819491.1488	19187052.9823676	135672.952748177	3591442.59375	23675072.9577556	167408.046335153	3212884.87145	20703284.4204937	146394.328065649	3395344.06245	23063338.66522	163082.43166979	3275040.07945	22027619.8619012	155758.793777498	3684453.74205	24302161.3985227	171842.231223854	3720706.9727	23930816.477321	169216.426104444	3546089.01705	23566728.7602018	166641.937167227	3964874.1502	26359684.1044854	186391.113802169	3965088.3629	25957755.3465074	183549.048298967	4062493.6521	27579535.5543562	195016.766124607	4598873.46835	30751884.0422416	217448.657405314	4383066.7115	29326368.6435023	207368.74135397	4858681.65855	34093303.0606299	241076.057872195	5003974.1689	32227830.8934977	227885.177677255	4795155.1101	31956391.0301806	225965.807996897	5566365.17655	37697397.769956	266560.855962225	5013037.55465	31955913.7478383	225962.433101089	5095974.4591	34097418.1159378	241105.155707326	5272831.19095	33485873.3505005	236780.881200928	5722476.85035	38438838.2484115	271803.631863846
